Temps (s);Vitesse angulaire (rad/s)
0,008333334;9,997384
0,016666668;9,994769
0,025000002;9,992154
0,033333335;9,98954
0,041666668;9,986927
0,05;9,984314
0,058333334;9,981702
0,06666667;9,979091
0,075;9,9764805
0,083333336;9,97387
0,09166667;9,971261
0,1;9,968653
0,108333334;9,966044
0,11666667;9,963437
0,125;9,960831
0,13333334;9,958225
0,14166668;9,95562
0,15000002;9,953015
0,15833336;9,950412
0,1666667;9,947808
0,17500004;9,945206
0,18333338;9,942604
0,19166672;9,940003
0,20000006;9,937403
0,2083334;9,934803
0,21666674;9,932204
0,22500008;9,9296055
0,23333342;9,927008
0,24166676;9,924411
0,2500001;9,921815
0,2583334;9,919219
0,26666674;9,916624
0,27500007;9,91403
0,2833334;9,911436
0,29166672;9,908843
0,30000004;9,906251
0,30833337;9,90366
0,3166667;9,901069
0,32500002;9,8984785
0,33333334;9,895889
0,34166667;9,8933
0,35;9,890712
0,35833332;9,888124
0,36666664;9,885538
0,37499997;9,882952
0,3833333;9,880366
0,39166662;9,877782
0,39999995;9,875197
0,40833327;9,872614
0,4166666;9,870031
0,42499992;9,867449
0,43333325;9,864867
0,44166657;9,862287
0,4499999;9,859707
0,45833322;9,857127
0,46666655;9,854548
0,47499987;9,851971
0,4833332;9,849393
0,49166653;9,846816
0,49999985;9,84424
0,5083332;9,841665
0,51666653;9,83909
0,52499986;9,836516
0,5333332;9,833943
0,5416665;9,83137
0,54999983;9,828798
0,55833316;9,826227
0,5666665;9,823656
0,5749998;9,821086
0,58333313;9,818517
0,59166646;9,8159485
0,5999998;9,81338
0,6083331;9,810813
0,61666644;9,808247
0,62499976;9,80568
0,6333331;9,803115
0,6416664;9,80055
0,64999974;9,797987
0,65833306;9,7954235
0,6666664;9,792861
0,6749997;9,790299
0,68333304;9,787738
0,69166636;9,785177
0,6999997;9,782618
0,708333;9,780058
0,71666634;9,777499
0,72499967;9,774941
0,733333;9,772385
0,7416663;9,769828
0,74999964;9,767272
0,75833297;9,764717
0,7666663;9,762162
0,7749996;9,759608
0,78333294;9,757055
0,79166627;9,754502
0,7999996;9,75195
0,8083329;9,749399
0,81666625;9,746849
0,8249996;9,744299
0,8333329;9,74175
0,8416662;9,739202
0,84999955;9,736653
0,8583329;9,734106
0,8666662;9,73156
0,8749995;9,729013
0,88333285;9,726468
0,8916662;9,723924
0,8999995;9,72138
0,9083328;9,718837
0,91666615;9,716294
0,9249995;9,713753
0,9333328;9,711211
0,9416661;9,708671
0,94999945;9,706131
0,9583328;9,703591
0,9666661;9,701053
0,9749994;9,698515
0,98333275;9,695978
0,9916661;9,693441
0,9999994;9,690906
1,0083327;9,688371
1,016666;9,685836
1,0249994;9,683302
1,0333327;9,680769
1,041666;9,678236
1,0499994;9,675704
1,0583327;9,673173
