Temps,Vitesse angulaire
0,10
0.0166667,9.99477
0.0333333,9.98954
0.05,9.98431
0.0666667,9.97908
0.0833333,9.97386
0.1,9.96864
0.116667,9.96342
0.133333,9.95821
0.15,9.953
0.166667,9.94779
0.183333,9.94258
0.2,9.93738
0.216667,9.93218
0.233333,9.92698
0.25,9.92179
0.266667,9.91659
0.283333,9.9114
0.3,9.90622
0.316667,9.90103
0.333333,9.89585
0.35,9.89067
0.366667,9.8855
0.383333,9.88032
0.4,9.87515
0.416667,9.86998
0.433333,9.86482
0.45,9.85966
0.466667,9.8545
0.483333,9.84934
0.5,9.84418
0.516667,9.83903
0.533333,9.83388
0.55,9.82874
0.566667,9.82359
0.583333,9.81845
0.6,9.81331
0.616667,9.80818
0.633333,9.80305
0.65,9.79792
0.666667,9.79279
0.683333,9.78766
0.7,9.78254
0.716667,9.77742
0.733333,9.77231
0.75,9.76719
0.766667,9.76208
0.783333,9.75697
0.8,9.75186
0.816667,9.74676
0.833333,9.74166
0.85,9.73656
0.866667,9.73147
0.883333,9.72637
0.9,9.72128
0.916667,9.7162
0.933333,9.71111
0.95,9.70603
0.966667,9.70095
0.983333,9.69587
1,9.6908
1.01667,9.68573
1.03333,9.68066
1.05,9.67559
1.06667,9.67053
1.08333,9.66547
1.1,9.66041
1.11667,9.65535
1.13333,9.6503
1.15,9.64525
1.16667,9.6402
1.18333,9.63516
1.2,9.63012
1.21667,9.62508
1.23333,9.62004
1.25,9.615
1.26667,9.60997
1.28333,9.60494
1.3,9.59992
1.31667,9.59489
1.33333,9.58987
1.35,9.58485
1.36667,9.57984
1.38333,9.57482
1.4,9.56981
1.41667,9.5648
1.43333,9.5598
1.45,9.5548
1.46667,9.5498
1.48333,9.5448
1.5,9.5398
1.51667,9.53481
1.53333,9.52982
1.55,9.52483
1.56667,9.51985
1.58333,9.51487
1.6,9.50989
1.61667,9.50491
1.63333,9.49994
1.65,9.49496
1.66667,9.49
1.68333,9.48503
1.7,9.48006
1.71667,9.4751
1.73333,9.47014
1.75,9.46519
1.76667,9.46023
1.78333,9.45528
1.8,9.45034
1.81667,9.44539
1.83333,9.44045
1.85,9.43551
1.86667,9.43057
1.88333,9.42563
1.9,9.4207
1.91667,9.41577
1.93333,9.41084
1.95,9.40592
1.96667,9.401
1.98333,9.39608
2,9.39116
2.01667,9.38624
2.03333,9.38133
2.05,9.37642
2.06667,9.37152
2.08333,9.36661
2.1,9.36171
2.11667,9.35681
2.13333,9.35191
2.15,9.34702
2.16667,9.34213
2.18333,9.33724
2.2,9.33235
2.21667,9.32747
2.23333,9.32259
2.25,9.31771
2.26667,9.31283
2.28333,9.30796
2.3,9.30309
2.31667,9.29822
2.33333,9.29335
2.35,9.28849
2.36667,9.28363
2.38333,9.27877
2.4,9.27391
2.41667,9.26906
2.43333,9.26421
2.45,9.25936
2.46667,9.25452
2.48333,9.24967
2.5,9.24483
2.51667,9.23999
2.53333,9.23516
2.55,9.23033
2.56667,9.2255
2.58333,9.22067
2.6,9.21584
2.61667,9.21102
2.63333,9.2062
2.65,9.20138
2.66667,9.19656
2.68333,9.19175
2.7,9.18694
2.71667,9.18213
2.73333,9.17733
2.75,9.17253
2.76667,9.16773
2.78333,9.16293
2.8,9.15813
2.81667,9.15334
2.83333,9.14855
2.85,9.14376
2.86667,9.13898
2.88333,9.13419
2.9,9.12941
2.91667,9.12464
2.93333,9.11986
2.95,9.11509
2.96667,9.11032
2.98333,9.10555
3,9.10078
3.01667,9.09602
3.03333,9.09126
3.05,9.0865
3.06667,9.08175
3.08333,9.077
3.1,9.07225
3.11667,9.0675
3.13333,9.06275
3.15,9.05801
3.16667,9.05327
3.18333,9.04853
3.2,9.0438
3.21667,9.03906
3.23333,9.03433
3.25,9.0296
3.26667,9.02488
3.28333,9.02016
3.3,9.01544
3.31667,9.01072
3.33333,9.006
3.35,9.00129
3.36667,8.99658
3.38333,8.99187
3.4,8.98716
3.41667,8.98246
3.43333,8.97776
3.45,8.97306
3.46667,8.96837
3.48333,8.96367
3.5,8.95898
3.51667,8.95429
3.53333,8.94961
3.55,8.94492
3.56667,8.94024
3.58333,8.93556
3.6,8.93089
3.61667,8.92621
3.63333,8.92154
3.65,8.91687
3.66667,8.91221
3.68333,8.90754
3.7,8.90288
3.71667,8.89822
3.73333,8.89357
3.75,8.88891
3.76667,8.88426
3.78333,8.87961
3.8,8.87496
3.81667,8.87032
3.83333,8.86568
3.85,8.86104
3.86667,8.8564
3.88333,8.85176
3.9,8.84713
3.91667,8.8425
3.93333,8.83787
3.95,8.83325
3.96667,8.82863
3.98333,8.82401
4,8.81939
4.01667,8.81477
4.03333,8.81016
4.05,8.80555
4.06667,8.80094
4.08333,8.79633
4.1,8.79173
4.11667,8.78713
4.13333,8.78253
4.15,8.77794
4.16667,8.77334
4.18333,8.76875
4.2,8.76416
4.21667,8.75957
4.23333,8.75499
4.25,8.75041
4.26667,8.74583
4.28333,8.74125
4.3,8.73668
4.31667,8.73211
4.33333,8.72754
4.35,8.72297
4.36667,8.7184
4.38333,8.71384
4.4,8.70928
4.41667,8.70472
4.43333,8.70017
4.45,8.69561
4.46667,8.69106
4.48333,8.68652
4.5,8.68197
4.51667,8.67743
4.53333,8.67288
4.55,8.66835
4.56667,8.66381
4.58333,8.65928
4.6,8.65474
4.61667,8.65022
4.63333,8.64569
4.65,8.64116
4.66667,8.63664
4.68333,8.63212
4.7,8.6276
4.71667,8.62309
4.73333,8.61858
4.75,8.61407
4.76667,8.60956
4.78333,8.60505
4.8,8.60055
4.81667,8.59605
4.83333,8.59155
4.85,8.58705
4.86667,8.58256
4.88333,8.57807
4.9,8.57358
4.91667,8.56909
4.93333,8.56461
4.95,8.56013
4.96667,8.55565
4.98333,8.55117
5,8.54669
5.01667,8.54222
5.03333,8.53775
5.05,8.53328
5.06667,8.52882
5.08333,8.52435
5.1,8.51989
5.11667,8.51543
5.13333,8.51098
5.15,8.50652
5.16667,8.50207
5.18333,8.49762
5.2,8.49317
5.21667,8.48873
5.23333,8.48429
5.25,8.47985
5.26667,8.47541
5.28333,8.47097
5.3,8.46654
5.31667,8.46211
5.33333,8.45768
5.35,8.45326
5.36667,8.44883
5.38333,8.44441
5.4,8.43999
5.41667,8.43557
5.43333,8.43116
5.45,8.42675
5.46667,8.42234
5.48333,8.41793
5.5,8.41352
5.51667,8.40912
5.53333,8.40472
5.55,8.40032
5.56667,8.39593
5.58333,8.39153
5.6,8.38714
5.61667,8.38275
5.63333,8.37836
5.65,8.37398
5.66667,8.3696
5.68333,8.36522
5.7,8.36084
5.71667,8.35646
5.73333,8.35209
5.75,8.34772
5.76667,8.34335
5.78333,8.33899
5.8,8.33462
5.81667,8.33026
5.83333,8.3259
5.85,8.32154
5.86667,8.31719
5.88333,8.31284
5.9,8.30849
5.91667,8.30414
5.93333,8.29979
5.95,8.29545
5.96667,8.29111
5.98333,8.28677
6,8.28243
6.01667,8.2781
6.03333,8.27376
6.05,8.26943
6.06667,8.26511
6.08333,8.26078
6.1,8.25646
6.11667,8.25214
6.13333,8.24782
6.15,8.2435
6.16667,8.23919
6.18333,8.23488
6.2,8.23057
6.21667,8.22626
6.23333,8.22195
6.25,8.21765
6.26667,8.21335
6.28333,8.20905
6.3,8.20476
6.31667,8.20046
6.33333,8.19617
6.35,8.19188
6.36667,8.18759
6.38333,8.18331
6.4,8.17903
6.41667,8.17475
6.43333,8.17047
6.45,8.16619
6.46667,8.16192
6.48333,8.15765
6.5,8.15338
6.51667,8.14911
6.53333,8.14485
6.55,8.14058
6.56667,8.13632
6.58333,8.13206
6.6,8.12781
6.61667,8.12356
6.63333,8.1193
6.65,8.11505
6.66667,8.11081
6.68333,8.10656
6.7,8.10232
6.71667,8.09808
6.73333,8.09384
6.75,8.08961
6.76667,8.08537
6.78333,8.08114
6.8,8.07691
6.81667,8.07268
6.83333,8.06846
6.85,8.06424
6.86667,8.06002
6.88333,8.0558
6.9,8.05158
6.91667,8.04737
6.93333,8.04316
6.95,8.03895
6.96667,8.03474
6.98333,8.03054
7,8.02633
7.01667,8.02213
7.03333,8.01794
7.05,8.01374
7.06667,8.00955
7.08333,8.00535
7.1,8.00116
7.11667,7.99698
7.13333,7.99279
7.15,7.98861
7.16667,7.98443
7.18333,7.98025
7.2,7.97607
7.21667,7.9719
7.23333,7.96773
7.25,7.96356
7.26667,7.95939
7.28333,7.95522
7.3,7.95106
7.31667,7.9469
7.33333,7.94274
7.35,7.93858
7.36667,7.93443
7.38333,7.93028
7.4,7.92613
7.41667,7.92198
7.43333,7.91783
7.45,7.91369
7.46667,7.90955
7.48333,7.90541
7.5,7.90127
7.51667,7.89714
7.53333,7.893
7.55,7.88887
7.56667,7.88475
7.58333,7.88062
7.6,7.87649
7.61667,7.87237
7.63333,7.86825
7.65,7.86413
7.66667,7.86002
7.68333,7.85591
7.7,7.85179
7.71667,7.84769
7.73333,7.84358
7.75,7.83947
7.76667,7.83537
7.78333,7.83127
7.8,7.82717
7.81667,7.82308
7.83333,7.81898
7.85,7.81489
7.86667,7.8108
7.88333,7.80671
7.9,7.80263
7.91667,7.79854
7.93333,7.79446
7.95,7.79038
7.96667,7.78631
7.98333,7.78223
8,7.77816
8.01667,7.77409
8.03333,7.77002
8.05,7.76595
8.06667,7.76189
8.08333,7.75783
8.1,7.75377
8.11667,7.74971
8.13333,7.74566
8.15,7.7416
8.16667,7.73755
8.18333,7.7335
8.2,7.72945
8.21667,7.72541
8.23333,7.72137
8.25,7.71732
8.26667,7.71329
8.28333,7.70925
8.3,7.70521
8.31667,7.70118
8.33333,7.69715
8.35,7.69312
8.36667,7.6891
8.38333,7.68507
8.4,7.68105
8.41667,7.67703
8.43333,7.67301
8.45,7.669
