Temps,Vitesse
0,10
0.0166667,9.97333
0.0333333,9.94677
0.05,9.92032
0.0666667,9.89397
0.0833333,9.86773
0.1,9.84159
0.116667,9.81555
0.133333,9.78962
0.15,9.76379
0.166667,9.73806
0.183333,9.71243
0.2,9.6869
0.216667,9.66147
0.233333,9.63615
0.25,9.61092
0.266667,9.58579
0.283333,9.56075
0.3,9.53582
0.316667,9.51098
0.333333,9.48624
0.35,9.46159
0.366667,9.43704
0.383333,9.41258
0.4,9.38822
0.416667,9.36395
0.433333,9.33977
0.45,9.31569
0.466667,9.2917
0.483333,9.2678
0.5,9.24399
0.516667,9.22027
0.533333,9.19664
0.55,9.1731
0.566667,9.14965
0.583333,9.12629
0.6,9.10302
0.616667,9.07983
0.633333,9.05673
0.65,9.03372
0.666667,9.01079
0.683333,8.98795
0.7,8.9652
0.716667,8.94253
0.733333,8.91994
0.75,8.89744
0.766667,8.87502
0.783333,8.85269
0.8,8.83043
0.816667,8.80826
0.833333,8.78617
0.85,8.76416
0.866667,8.74224
0.883333,8.72039
0.9,8.69862
0.916667,8.67694
0.933333,8.65533
0.95,8.6338
0.966667,8.61235
0.983333,8.59098
1,8.56968
1.01667,8.54846
1.03333,8.52732
1.05,8.50626
1.06667,8.48527
1.08333,8.46435
1.1,8.44352
1.11667,8.42275
1.13333,8.40206
1.15,8.38145
1.16667,8.36091
1.18333,8.34044
1.2,8.32004
1.21667,8.29972
1.23333,8.27947
1.25,8.25929
1.26667,8.23918
1.28333,8.21914
1.3,8.19918
1.31667,8.17928
1.33333,8.15946
1.35,8.1397
1.36667,8.12001
1.38333,8.1004
1.4,8.08085
1.41667,8.06137
1.43333,8.04195
1.45,8.02261
1.46667,8.00333
1.48333,7.98412
1.5,7.96497
1.51667,7.94589
1.53333,7.92688
1.55,7.90793
1.56667,7.88905
1.58333,7.87023
1.6,7.85148
1.61667,7.83279
1.63333,7.81417
1.65,7.79561
1.66667,7.77711
1.68333,7.75868
1.7,7.74031
1.71667,7.722
1.73333,7.70375
1.75,7.68557
1.76667,7.66744
1.78333,7.64938
1.8,7.63138
1.81667,7.61344
1.83333,7.59556
1.85,7.57774
1.86667,7.55998
1.88333,7.54228
1.9,7.52464
1.91667,7.50706
1.93333,7.48953
1.95,7.47207
1.96667,7.45466
1.98333,7.43731
2,7.42002
2.01667,7.40279
2.03333,7.38561
2.05,7.36849
2.06667,7.35142
2.08333,7.33442
2.1,7.31746
2.11667,7.30057
2.13333,7.28373
2.15,7.26694
2.16667,7.25021
2.18333,7.23354
2.2,7.21692
2.21667,7.20035
2.23333,7.18384
2.25,7.16738
2.26667,7.15097
2.28333,7.13462
2.3,7.11832
2.31667,7.10207
2.33333,7.08588
2.35,7.06973
2.36667,7.05364
2.38333,7.0376
2.4,7.02162
2.41667,7.00568
2.43333,6.9898
2.45,6.97396
2.46667,6.95818
2.48333,6.94245
2.5,6.92676
2.51667,6.91113
2.53333,6.89555
2.55,6.88001
2.56667,6.86453
2.58333,6.84909
2.6,6.8337
2.61667,6.81837
2.63333,6.80308
2.65,6.78784
2.66667,6.77264
2.68333,6.7575
2.7,6.7424
2.71667,6.72735
2.73333,6.71234
2.75,6.69738
2.76667,6.68247
2.78333,6.66761
2.8,6.65279
2.81667,6.63802
2.83333,6.62329
2.85,6.60861
2.86667,6.59398
2.88333,6.57939
2.9,6.56485
2.91667,6.55035
2.93333,6.53589
2.95,6.52148
2.96667,6.50712
2.98333,6.49279
3,6.47852
3.01667,6.46428
3.03333,6.45009
3.05,6.43594
3.06667,6.42184
3.08333,6.40778
3.1,6.39376
3.11667,6.37979
3.13333,6.36585
3.15,6.35196
3.16667,6.33811
3.18333,6.32431
3.2,6.31054
3.21667,6.29682
3.23333,6.28313
3.25,6.26949
3.26667,6.25589
3.28333,6.24233
3.3,6.22881
3.31667,6.21534
3.33333,6.2019
3.35,6.1885
3.36667,6.17514
3.38333,6.16182
3.4,6.14855
3.41667,6.13531
3.43333,6.12211
3.45,6.10895
3.46667,6.09583
3.48333,6.08274
3.5,6.0697
3.51667,6.0567
3.53333,6.04373
3.55,6.0308
3.56667,6.01791
3.58333,6.00506
3.6,5.99224
3.61667,5.97947
3.63333,5.96673
3.65,5.95402
3.66667,5.94136
3.68333,5.92873
3.7,5.91614
3.71667,5.90358
3.73333,5.89106
3.75,5.87858
3.76667,5.86614
3.78333,5.85373
3.8,5.84135
3.81667,5.82901
3.83333,5.81671
3.85,5.80444
3.86667,5.79221
3.88333,5.78002
3.9,5.76786
3.91667,5.75573
3.93333,5.74364
3.95,5.73158
3.96667,5.71956
3.98333,5.70757
4,5.69562
4.01667,5.6837
4.03333,5.67181
4.05,5.65996
4.06667,5.64814
4.08333,5.63636
4.1,5.62461
4.11667,5.61289
4.13333,5.6012
4.15,5.58955
4.16667,5.57793
4.18333,5.56635
4.2,5.5548
4.21667,5.54328
4.23333,5.53179
4.25,5.52033
4.26667,5.50891
4.28333,5.49752
4.3,5.48616
4.31667,5.47483
4.33333,5.46353
4.35,5.45227
4.36667,5.44103
4.38333,5.42983
4.4,5.41866
4.41667,5.40752
4.43333,5.39641
4.45,5.38534
4.46667,5.37429
4.48333,5.36327
4.5,5.35228
4.51667,5.34133
4.53333,5.3304
4.55,5.31951
4.56667,5.30864
4.58333,5.29781
4.6,5.287
4.61667,5.27622
4.63333,5.26548
4.65,5.25476
4.66667,5.24407
4.68333,5.23341
4.7,5.22278
4.71667,5.21218
4.73333,5.20161
4.75,5.19107
4.76667,5.18055
4.78333,5.17007
4.8,5.15961
